City,Longitude,Latitude,Tempurature (F),Humidity,Windspeed (MPH),Cloudiness
khatanga,102.5,71.97,40.59,86,5.14,100
atuona,-139.03,-9.8,79.95,76,23.98,8
dikson,80.55,73.51,38.73,91,14.94,84
boende,20.87,-0.22,73.98,92,1.7,100
codrington,141.97,-38.27,44.51,86,3.18,100
cockburn town,-71.14,21.46,82.96,78,16.84,0
ostrovnoy,39.51,68.05,62.42,69,5.41,50
mar del plata,-57.56,-38.0,50.34,61,16.11,96
new norfolk,147.06,-42.78,42.17,84,1.01,99
ancud,-73.82,-41.87,46.24,70,9.17,20
pisco,-76.22,-13.7,64.24,77,10.29,40
lebu,-73.65,-37.62,52.56,82,8.72,94
takoradi,-1.76,4.88,77.11,76,11.56,94
gat,34.76,31.61,79.65,77,5.99,0
punta arenas,-70.92,-53.15,39.09,69,17.22,20
robertsganj,83.07,24.7,84.63,63,4.07,37
ketchikan,-131.65,55.34,57.2,100,16.11,90
tecoanapa,-98.75,16.52,89.53,53,5.95,100
port alfred,26.89,-33.59,58.53,70,17.02,70
hambantota,81.12,6.12,81.14,76,14.85,100
merauke,140.33,-8.47,77.65,82,14.92,100
dharmanagar,92.17,24.37,78.48,95,4.18,90
imeni babushkina,43.13,59.76,59.22,83,2.51,35
kavieng,150.8,-2.57,82.38,79,11.92,100
talnakh,88.4,69.49,46.4,81,20.13,87
anadyr,177.48,64.75,66.09,82,2.24,44
qaanaaq,-69.36,77.48,47.14,52,9.31,0
rikitea,-134.97,-23.12,70.02,78,18.97,16
vaini,-175.2,-21.2,68.0,94,9.17,20
tambopata,-69.18,-12.73,75.2,53,4.7,41
pevek,170.31,69.7,52.79,69,8.3,47
kavaratti,72.64,10.57,82.06,79,10.29,91
cap-aux-meules,-61.86,47.38,66.2,88,12.75,90
visby,18.3,57.64,69.13,64,13.87,83
cidreira,-50.21,-30.18,57.43,66,12.71,96
talcahuano,-73.12,-36.72,57.2,82,10.29,75
mataura,168.86,-46.19,39.0,83,3.0,1
bredasdorp,20.04,-34.53,53.6,66,5.82,60
ponta delgada,-25.67,37.73,73.4,78,10.29,75
omsukchan,155.8,62.53,54.86,63,8.81,0
shingu,135.98,33.73,73.31,92,3.51,100
deputatskiy,139.9,69.3,52.03,89,4.23,16
temyasovo,58.1,52.99,59.0,100,4.47,40
borzya,116.52,50.38,67.62,81,6.42,84
cape town,18.42,-33.93,56.26,66,18.34,20
faanui,-151.75,-16.48,77.9,83,16.2,44
albany,-73.97,42.6,88.43,31,9.78,27
sitka,-135.33,57.05,55.4,93,13.87,90
bluff,168.33,-46.6,39.0,83,3.0,13
sur,59.53,22.57,87.76,61,19.22,100
rabaul,152.17,-4.2,79.21,78,6.51,48
chokurdakh,147.92,70.63,47.89,80,10.2,84
srednyaya yelyuzan,45.95,53.02,71.01,36,3.71,7
tekkali,84.23,18.62,82.6,83,3.76,25
araouane,-3.53,18.9,103.82,21,1.12,43
van buren,-94.35,35.44,88.47,58,3.36,75
misratah,15.09,32.38,80.67,78,13.53,0
bengkulu,102.27,-3.8,75.45,86,6.06,84
honningsvag,25.97,70.98,61.25,65,16.91,13
kaitangata,169.85,-46.28,42.01,84,4.0,12
port pirie,138.02,-33.18,48.2,93,5.82,40
vrede,29.17,-27.43,44.37,51,4.79,0
hermanus,19.23,-34.42,53.01,75,12.97,56
hobart,147.33,-42.88,43.9,87,6.93,75
ushuaia,-68.3,-54.8,35.6,86,21.92,40
qui nhon,109.23,13.77,80.2,85,6.44,84
broken hill,141.43,-31.95,46.4,61,10.29,70
bonavista,-53.11,48.65,59.32,88,14.67,100
tasiilaq,-37.64,65.61,48.2,70,8.05,80
