City,Longitude,Latitude,Tempurature (F),Humidity,Windspeed (MPH),Cloudiness
dikson,80.55,73.51,41.38,87,17.13,1
georgetown,100.34,5.41,84.09,74,6.93,20
hasaki,140.83,35.73,74.75,94,5.82,75
albany,-73.97,42.6,71.29,75,3.13,49
victoria,114.16,22.29,85.39,58,11.01,98
ulaanbaatar,106.88,47.91,60.8,87,4.47,75
rikitea,-134.97,-23.12,69.55,79,21.39,28
carnarvon,113.63,-24.87,62.6,93,5.82,0
egvekinot,-179.17,66.32,48.52,86,5.21,100
port blair,92.75,11.67,84.18,75,1.63,11
chunhuhub,-88.68,19.55,78.06,87,2.77,93
san quintin,-115.95,30.48,64.27,84,6.93,98
qaqortoq,-46.03,60.72,50.0,81,9.17,75
sitka,-135.33,57.05,55.4,87,6.93,90
mar del plata,-57.56,-38.0,39.51,86,5.82,0
aklavik,-135.01,68.22,53.6,76,3.36,75
udachnyy,112.4,66.42,55.4,87,8.95,90
avarua,-159.78,-21.21,69.8,77,9.17,79
ushuaia,-68.3,-54.8,26.6,86,24.16,75
saint-philippe,55.77,-21.36,63.82,52,23.04,75
fuerte olimpo,-57.87,-21.04,57.11,65,8.28,100
busselton,115.33,-33.65,61.23,72,17.76,100
lodja,23.43,-3.48,95.99,23,4.07,34
arraial do cabo,-42.03,-22.97,76.23,61,12.75,0
cidreira,-50.21,-30.18,51.01,87,16.84,100
butaritari,172.79,3.07,83.46,72,16.8,1
mayumba,10.66,-3.43,76.77,66,6.51,86
honavar,74.45,14.28,80.44,80,7.7,100
coos bay,-124.22,43.37,51.03,93,9.17,1
mount gambier,140.77,-37.83,42.8,93,3.85,0
faanui,-151.75,-16.48,77.27,78,14.27,0
luquillo,-65.72,18.37,85.33,66,6.93,1
new norfolk,147.06,-42.78,41.0,87,2.68,87
homer,-151.55,59.64,51.21,87,3.36,90
saint-francois,3.91,46.42,82.4,34,5.82,100
opuwo,13.84,-18.06,76.55,18,9.84,0
atuona,-139.03,-9.8,78.93,78,21.74,4
